source_file,source_sheet,source_row_number,source_category,dataset_from_file,zone_from_file,dataset,method,family,criterion,feature_set_id,num_features,selected_features,feature,selection_frequency,mean_rank,borda_score,rrf_score,cluster,tier,tier_label,zone,path
unsw_candidate_feature_sets.csv,,1,candidate_feature_sets,unsw,,unsw,boruta,wrapper,elbow,unsw__boruta__elbow__k33,33,sbytes;synack;dloss;stcpb;dbytes;dur;state;dwin;sload;stime;ct_src_dport_ltm;sloss;proto;ltime;dintpkt;sintpkt;djit;ct_srv_dst;ct_dst_ltm;dttl;trans_depth;ct_flw_http_mthd;dmeansz;service;ct_srv_src;ct_state_ttl;is_ftp_login;sttl;ct_dst_sport_ltm;ct_ftp_cmd;res_bdy_len;ct_src_ltm;sjit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,2,candidate_feature_sets,unsw,,unsw,boruta,wrapper,q25,unsw__boruta__q25__k11,11,sbytes;synack;dloss;stcpb;dbytes;dur;state;dwin;sload;stime;ct_src_dport_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,3,candidate_feature_sets,unsw,,unsw,boruta,wrapper,q50,unsw__boruta__q50__k22,22,sbytes;synack;dloss;stcpb;dbytes;dur;state;dwin;sload;stime;ct_src_dport_ltm;sloss;proto;ltime;dintpkt;sintpkt;djit;ct_srv_dst;ct_dst_ltm;dttl;trans_depth;ct_flw_http_mthd,,,,,,,,,,
unsw_candidate_feature_sets.csv,,4,candidate_feature_sets,unsw,,unsw,boruta,wrapper,q75,unsw__boruta__q75__k33,33,sbytes;synack;dloss;stcpb;dbytes;dur;state;dwin;sload;stime;ct_src_dport_ltm;sloss;proto;ltime;dintpkt;sintpkt;djit;ct_srv_dst;ct_dst_ltm;dttl;trans_depth;ct_flw_http_mthd;dmeansz;service;ct_srv_src;ct_state_ttl;is_ftp_login;sttl;ct_dst_sport_ltm;ct_ftp_cmd;res_bdy_len;ct_src_ltm;sjit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,5,candidate_feature_sets,unsw,,unsw,chi2,filter,elbow,unsw__chi2__elbow__k4,4,sbytes;synack;ct_dst_ltm;ct_srv_src,,,,,,,,,,
unsw_candidate_feature_sets.csv,,6,candidate_feature_sets,unsw,,unsw,chi2,filter,q25,unsw__chi2__q25__k11,11,sbytes;synack;ct_dst_ltm;ct_srv_src;ct_srv_dst;dload;spkts;ct_flw_http_mthd;ct_state_ttl;res_bdy_len;sjit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,7,candidate_feature_sets,unsw,,unsw,chi2,filter,q50,unsw__chi2__q50__k22,22,sbytes;synack;ct_dst_ltm;ct_srv_src;ct_srv_dst;dload;spkts;ct_flw_http_mthd;ct_state_ttl;res_bdy_len;sjit;is_ftp_login;swin;dpkts;stcpb;ct_ftp_cmd;dloss;ct_dst_sport_ltm;ct_dst_src_ltm;ct_src_dport_ltm;dbytes;sloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,8,candidate_feature_sets,unsw,,unsw,chi2,filter,q75,unsw__chi2__q75__k33,33,sbytes;synack;ct_dst_ltm;ct_srv_src;ct_srv_dst;dload;spkts;ct_flw_http_mthd;ct_state_ttl;res_bdy_len;sjit;is_ftp_login;swin;dpkts;stcpb;ct_ftp_cmd;dloss;ct_dst_sport_ltm;ct_dst_src_ltm;ct_src_dport_ltm;dbytes;sloss;dintpkt;ltime;sintpkt;dtcpb;dwin;service;sload;dttl;is_sm_ips_ports;dur;tcprtt,,,,,,,,,,
unsw_candidate_feature_sets.csv,,9,candidate_feature_sets,unsw,,unsw,chi2_boruta,hybrid,elbow,unsw__chi2_boruta__elbow__k23,23,sbytes;synack;dloss;stcpb;dbytes;ct_src_dport_ltm;sloss;ct_srv_dst;ct_dst_ltm;ct_flw_http_mthd;ct_srv_src;ct_state_ttl;is_ftp_login;dload;dpkts;swin;res_bdy_len;sjit;ct_ftp_cmd;spkts;ct_dst_sport_ltm;ct_dst_src_ltm;proto,,,,,,,,,,
unsw_candidate_feature_sets.csv,,10,candidate_feature_sets,unsw,,unsw,chi2_boruta,hybrid,q25,unsw__chi2_boruta__q25__k11,11,sbytes;synack;dloss;stcpb;dbytes;ct_src_dport_ltm;sloss;ct_srv_dst;ct_dst_ltm;ct_flw_http_mthd;ct_srv_src,,,,,,,,,,
unsw_candidate_feature_sets.csv,,11,candidate_feature_sets,unsw,,unsw,chi2_boruta,hybrid,q50,unsw__chi2_boruta__q50__k22,22,sbytes;synack;dloss;stcpb;dbytes;ct_src_dport_ltm;sloss;ct_srv_dst;ct_dst_ltm;ct_flw_http_mthd;ct_srv_src;ct_state_ttl;is_ftp_login;dload;dpkts;swin;res_bdy_len;sjit;ct_ftp_cmd;spkts;ct_dst_sport_ltm;ct_dst_src_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,12,candidate_feature_sets,unsw,,unsw,chi2_boruta,hybrid,q75,unsw__chi2_boruta__q75__k33,33,sbytes;synack;dloss;stcpb;dbytes;ct_src_dport_ltm;sloss;ct_srv_dst;ct_dst_ltm;ct_flw_http_mthd;ct_srv_src;ct_state_ttl;is_ftp_login;dload;dpkts;swin;res_bdy_len;sjit;ct_ftp_cmd;spkts;ct_dst_sport_ltm;ct_dst_src_ltm;proto;state;dur;sttl;dttl;service;sload;dwin;dtcpb;smeansz;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,13,candidate_feature_sets,unsw,,unsw,chi2_xgboost,hybrid,elbow,unsw__chi2_xgboost__elbow__k3,3,synack;sbytes;dbytes,,,,,,,,,,
unsw_candidate_feature_sets.csv,,14,candidate_feature_sets,unsw,,unsw,chi2_xgboost,hybrid,q25,unsw__chi2_xgboost__q25__k11,11,synack;sbytes;dbytes;dloss;stcpb;ct_srv_dst;ct_src_dport_ltm;ct_flw_http_mthd;ct_dst_sport_ltm;spkts;dload,,,,,,,,,,
unsw_candidate_feature_sets.csv,,15,candidate_feature_sets,unsw,,unsw,chi2_xgboost,hybrid,q50,unsw__chi2_xgboost__q50__k22,22,synack;sbytes;dbytes;dloss;stcpb;ct_srv_dst;ct_src_dport_ltm;ct_flw_http_mthd;ct_dst_sport_ltm;spkts;dload;sloss;is_ftp_login;res_bdy_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;swin;sjit;dpkts;ct_dst_src_ltm;ct_ftp_cmd,,,,,,,,,,
unsw_candidate_feature_sets.csv,,16,candidate_feature_sets,unsw,,unsw,chi2_xgboost,hybrid,q75,unsw__chi2_xgboost__q75__k33,33,synack;sbytes;dbytes;dloss;stcpb;ct_srv_dst;ct_src_dport_ltm;ct_flw_http_mthd;ct_dst_sport_ltm;spkts;dload;sloss;is_ftp_login;res_bdy_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;swin;sjit;dpkts;ct_dst_src_ltm;ct_ftp_cmd;proto;state;dur;sttl;dttl;service;sload;dwin;dtcpb;smeansz;dmeansz,,,,,,,,,,
